sales_agent,account,product,order_value,create_date
Niesha Huffines,Domzoom,GTX Basic,568,9/24/17
Corliss Cosme,Umbrella Corporation,GTX Plus Pro,5717,9/15/17
Corliss Cosme,Donquadtech,GTXPro,5027,9/15/17
Darcel Schlecht,Bioholding,GTX Plus Basic,1159,9/17/17
Maureen Marcano,Blackzim,GTX Plus Pro,5832,9/21/17
Violet Mclelland,Mathtouch,MG Special,66,9/27/17
Cassey Cress,Zencorporation,GTX Plus Pro,5245,9/21/17
Gladys Colclough,Streethex,MG Special,53,9/20/17
Markita Hansen,Hatfan,MG Advanced,3138,9/21/17
Zane Levy,Newex,GTX Basic,560,9/19/17
Jonathan Berthelot,Conecom,GTX Basic,530,9/19/17
Marty Freudenburg,Betatech,MG Special,72,9/21/17
Maureen Marcano,Kan-code,GTX Plus Pro,4870,9/20/17
Versie Hillebrand,Konmatfix,MG Special,54,9/26/17
Cassey Cress,Iselectrics,GTX Basic,600,9/24/17
Corliss Cosme,Kinnamplus,GTXPro,4535,9/18/17
Gladys Colclough,Conecom,GTXPro,4805,9/29/17
Zane Levy,Labdrill,GTX Basic,518,9/21/17
Anna Snelling,Stanredtax,GTX Plus Pro,5421,9/18/17
Kami Bicknell,Fasehatice,GTXPro,4844,9/16/17
Kami Bicknell,Labdrill,MG Advanced,3596,9/23/17
Zane Levy,Scotfind,GTXPro,4050,9/25/17
Daniell Hammack,Vehement Capital Partners,GTX Plus Basic,1221,9/29/17
Maureen Marcano,Groovestreet,GTXPro,4695,9/30/17
Anna Snelling,Statholdings,MG Special,55,9/23/17
Cassey Cress,Ontomedia,GTX Basic,512,9/27/17
Corliss Cosme,Kan-code,GTX Plus Pro,5820,9/24/17
Darcel Schlecht,Rangreen,GTX Plus Basic,1153,9/26/17
Donn Cantrell,Ganjaflex,GTX Plus Basic,892,9/21/17
James Ascencio,Goodsilron,GTX Plus Pro,5919,9/18/17
Violet Mclelland,Konex,GTXPro,5604,9/30/17
Zane Levy,Konex,GTXPro,5360,9/27/17
Donn Cantrell,Betasoloin,GTXPro,5763,9/26/17
Zane Levy,Konex,GTXPro,4800,9/27/17
Jonathan Berthelot,Finhigh,GTXPro,4902,9/27/17
Darcel Schlecht,Domzoom,GTXPro,5450,9/29/17
Jonathan Berthelot,Inity,GTXPro,3678,9/25/17
Reed Clapper,Massive Dynamic,GTXPro,4369,9/24/17
Corliss Cosme,Gekko & Co,GTXPro,5037,9/29/17
Hayden Neloms,Dalttechnology,MG Special,59,9/26/17
Jonathan Berthelot,Ron-tech,GTXPro,4361,9/30/17
Markita Hansen,Goodsilron,GTX Basic,587,9/29/17
Anna Snelling,Toughzap,MG Special,66,9/30/17
Marty Freudenburg,Warephase,MG Special,68,9/27/17
Kami Bicknell,Fasehatice,GTX Basic,675,9/28/17
Vicki Laflamme,Scotfind,MG Special,47,9/29/17
Darcel Schlecht,Bioholding,GTXPro,4422,9/30/17
Gladys Colclough,Conecom,GTX Plus Basic,1047,9/27/17
Hayden Neloms,Finjob,MG Advanced,3197,9/25/17
Cassey Cress,Massive Dynamic,GTXPro,5727,9/27/17
Cassey Cress,Plussunin,GTXPro,4308,9/28/17
Gladys Colclough,Cancity,MG Advanced,2800,9/30/17
Versie Hillebrand,Genco Pura Olive Oil Company,MG Special,59,9/29/17
